taxi1,Tata,Indica,Economy,20,empty,10.78901,72.88908
taxi2,Tata,Indica,Economy,20,empty,10.78901,72.88908
taxi3,Tata,Indica,Economy,20,empty,10.78901,72.88908
taxi4,Tata,Indica,Economy,20,empty,10.78901,72.88908
taxi5,Tata,Indica,Economy,20,empty,10.78901,72.88908
taxi6,Mahindra,XUV,Premium,50,occupied,8.49191,76.93018
taxi7,Mahindra,XUV,Premium,50,occupied,8.49191,76.93018
taxi8,Mahindra,XUV,Premium,50,occupied,8.49191,76.93018
taxi9,Mahindra,XUV,Premium,50,occupied,8.49191,76.93018
taxi10,Mahindra,XUV,Premium,50,occupied,8.49191,76.93018
